裁	cái	cut out; decrease	裁判 裁員 裁縫	cáipàn cáiyuán cáiféng
蟹	xiè	crab, brachyura		
阻	zǔ	impede, hinder, obstruct; oppose	阻礙 阻止 阻擋	zǔài zǔzhǐ zǔdǎng
頗	pǒ	lean one side; very, rather		
孟	mèng	first in series; great, eminent		
航	háng	sail; navigate; ship, boat	航空 航空信 航行	hángkōng hángkōngxìn hángxíng
遙	yáo	far away, distant, remote	逍遙 遙遠	xiāoyáo yáoyuǎn
翔	xiáng	soar, glide, hover; detailed	飛翔	fēixiáng
歇	xiē	rest, stop, lodge		
蠍	xiē	scorpion		
恭	gōng	respectful, polite, reverent	恭喜 恭敬 恭維	gōngxǐ gōngjìng gōngwei
奧	ào	mysterious, obscure, profound	奧妙 深奧	àomiào shēnào
齋	zhāi	vegetarian diet; study; to fast, abstain		
睛	jīng	eyeball; pupil of eye	眼睛	yǎnjing
槍	qiāng	spear, lance; gun, rifle	手槍	shǒuqiāng
塔	tǎ	tower, spire, tall building		
閉	bì	shut, close; obstruct, block up	閉幕 閉塞 封閉	bìmù bìsè fēngbì
頓	dùn	pause, stop; bow, kowtow; arrange	安頓 頓時 停頓	āndùn dùnshí tíngdùn
糊	hú	paste, stick on with paste	糊塗 迷糊 模糊	hútu míhu móhu
仰	yǎng	raise the head to look; look up to, rely on, admire	信仰 仰慕	xìnyǎng yǎngmù
旗	qí	banner, flag, streamer	國旗 旗袍 旗子	guóqí qípáo qízi
勵	lì	strive; encourage	鼓勵 獎勵	gǔlì jiǎnglì
厚	hòu	thick; substantial; greatly	濃厚 深厚	nónghòu shēnhòu
魂	hún	soul, spirit	靈魂	línghún
准	zhǔn	approve, allow, permit; in accord	准考證 核准 批准	zhǔnkǎozhèng hézhǔn pīzhǔn
宙	zhòu	time as concept; infinite time	宇宙	yǔzhòu
逸	yì	flee, escape, break loose		
裕	yù	abundant, rich, plentiful	富裕 充裕	Fùyù chōngyù
舒	shū	open up, unfold, stretch out; comfortable, easy	舒服 舒適 舒暢	shūfu shūshì shūchàng
訪	fǎng	visit; ask, inquire	訪問 拜訪 採訪	fǎngwèn bàifǎng cǎifǎng
薩	sà	transliteration used in 'bodhisattva,' etc.		
飲	yǐn	drink; swallow; kind of drink	飲料 冷飲 飲食	yǐnliào lěngyǐn yǐnshí
閣	gé	chamber, pavilion; cabinet	內閣	nèigé
庸	yōng	usual, common, ordinary, mediocre	中庸	Zhōngyōng
啪	pā	syllable		
搶	qiǎng	plunder, rob, take by force	搶救	qiǎngjiù
砂	shā	sand; pebbles, gravel; gritty		
緒	xù	end of thread; thread	情緒 就緒	qíngxù jiùxù
穹	qióng	high and vast; elevated; arched		
儘	jǐn	utmost	儘管 儘量	jǐnguǎn jǐnliàng
掃	sǎo	sweep, clear away; exterminate	打掃 清掃	dǎsǎo qīngsǎo
慈	cí	kind, charitable, benevolent	慈善	císhàn
欄	lán	railing, balustrade; animal pan	佈告欄	bùgàolán
嘗	cháng	taste; experience, experiment	嘗試	chángshì
勸	quàn	recommend, advise, urge	勸導 勸告	quàndǎo quàngào
鮮	xiān	fresh, new, delicious; rare, few	新鮮 海鮮 鮮花	xīnxiān hǎixiān xiānhuā
奮	fèn	strive, exert effort; arouse	興奮 奮鬥 勤奮	xīngfèn fèndòu qínfèn
賜	cì	give, bestow favors; appoint		
菩	pú	herb, aromatic plant		
喊	hǎn	shout, call out, yell; howl; cry	叫喊	jiàohǎn
闡	chǎn	explain, clarify, elucidate		
幽	yōu	quiet, secluded, tranquil; dark	幽默 清幽	yōumò qīngyōu
擴	kuò	expand, enlarge, stretch	擴大 擴建 擴散	kuòdà kuòjiàn kuòsàn
汙	wū	filthy, dirty, impure, polluted		
污	wū	filthy, dirty, impure, polluted	污染	wūrǎn
彰	zhāng	clear, manifest, obvious		
毫	háo	fine hair; measure of length	毫無 毫不 絲毫	háowú háobù sīháo
祥	xiáng	good luck, good omen; happiness	吉祥	jíxiáng
盜	dào	rob, steal; thief, bandit	強盜	qiángdào
証	zhèng	prove, confirm, verify; proof		
罰	fá	penalty, fine; punish, penalize	處罰	chǔfá
尖	jiān	sharp, pointed, acute, keen	尖銳 尖端	jiānruì jiānduān
灰	huī	ashes; dust; lime, mortar	灰色 灰心 灰塵	huīsè huīxīn huīchén
狐	hú	species of fox	狐疑	húyí
衡	héng	measure, weigh, judge, consider	平衡 度量衡 衡量	pínghéng dùliànghéng héngliáng
擎	qíng	lift up, hold up, support	引擎	yǐnqíng
汪	wāng	vast, extensive, deep; surname		
籌	chóu	chip, tally, token; raise money		
犀	xī	rhinoceros; sharp, well-tempered		
遲	chí	late, tardy; slow; delay	遲到 遲早 遲鈍	chídào chízǎo chídùn
誇	kuā	exaggerate; brag, boast; flaunt	誇張 誇獎 誇耀	kuāzhāng kuājiǎng kuāyào
邱	qiū	surname; hill; mound; grave		
稅	shuì	taxes, revenue, duty; tax	關稅 免稅 納稅	guānshuì miǎnshuì nàshuì
浩	hào	great, numerous, vast, abundant		
拆	chāi	to break up, split apart, rip open; to destroy		
紛	fēn	in disorder, scattered, tangled	紛紛 糾紛	fēnfēn jiūfēn
托	tuō	to hold up with palm; to support, rely on	摩托車 托兒所	mótuōchē tuōérsuǒ
姑	gū	father's sister; husband's mother	姑娘 姑姑 姑丈	gūniang gūgu gūzhàng
咱	zán	we, us	咱們	zánmen
漏	lòu	leak, drip; funnel; hour glass		
誕	dàn	to bear children, give birth; birth	誕生	dànshēng
淑	shū	good, pure, virtuous, charming		
鬱	yù	luxuriant; dense, thick; moody	憂鬱	yōuyù
砲	pào	gun, cannon		
柏	bó	cypress, cedar		
牆	qiáng	wall	牆壁 牆角 圍牆	qiángbì qiángjiǎo wéiqiáng
窩	wō	nest; cave, den; hiding place	燕窩	yànwō
頃	qǐng	a moment; a measure of area equal to 100 mu or 6.7 hectares; to lean		
傾	qīng	upset, pour out, overflow	傾向	qīngxiàng
辭	cí	words, speech, expression, phrase	辭職 告辭 辭典	cízhí gàocí cídiǎn
秒	miǎo	beard of grain or corn; a second		
渡	dù	cross, ferry over; ferry	過渡 偷渡	guòdù tōudù
沖	chōng	pour, infuse, steep; wash away	沖淡 沖天	chōngdàn chōngtiān
廖	liào	surname; name of an ancient state		
輛	liàng	numerary adjunct for vehicles	車輛	chēliàng
齒	chǐ	teeth; gears, cogs; age; KangXi radical 211	牙齒	yáchǐ
齡	líng	age; years	年齡 保齡球	niánlíng bǎolíngqiú
培	péi	bank up with dirt; cultivate	培養 培訓 培育	péiyǎng péixùn péiyù
邀	yāo	invite, welcome; meet, intercept	邀請 應邀	yāoqǐng yìngyāo
袋	dài	pocket, bag, sack, pouch	袋子 口袋 腦袋	dàizi kǒudài nǎodài
杜	dù	stop, prevent; restrict; surname		
酸	suān	tart, sour; acid; stiff; spoiled	心酸 辛酸	xīnsuān xīnsuān
胸	xiōng	breast, bosom, chest; thorax	心胸 胸口	xīnxiōng xiōngkǒu
邏	luó	patrol; inspect; watch	邏輯 巡邏	luóji xúnluó
涼	liáng	cool, cold; disheartened	涼快 淒涼	liángkuai qīliáng
肥	féi	fat, plump, obese; fertile	肥胖 肥皂 肥料	féipàng féizào féiliào
獸	shòu	beast, animal; bestial	野獸	yěshòu
娃	wá	baby; doll; pretty girl	娃娃	wáwa
孔	kǒng	opening, hole, orifice; great	鼻孔 面孔	bíkǒng miànkǒng
陷	xiàn	submerge, sink, plunge; trap	淪陷 缺陷 陷入	lúnxiàn quēxiàn xiànrù
估	gū	merchant; estimate, guess, presume	估計 估價 評估	gūjì gūjià pínggū
妻	qī	wife	夫妻 妻子 未婚妻	fūqī qīzǐ wèihūnqī
徑	jìng	narrow path; diameter; direct	途徑 田徑 直徑	tújìng tiánjìng zhíjìng
玫	méi	rose	玫瑰	méiguī
潛	qián	hide; hidden, secret, latent	潛藏 潛力	qiáncáng qiánlì
胞	bāo	womb, placenta, fetal membrane	雙胞胎 同胞 細胞	shuāngbāotāi tóngbāo xìbāo
煞	shā	malignant deity; baleful, noxious; strike dead	煞車	shāchē
脆	cuì	crisp; fragile, frail; brittle	乾脆 脆弱	gāncuì cuìruò
抹	mǒ	smear, apply, wipe off, erase		
猶	yóu	like, similar to, just like, as	猶豫	yóuyù
築	zhú	build, erect; building	建築 修築	jiànzhù xiūzhù
碎	suì	break, smash; broken, busted	破碎 瑣碎	pòsuì suǒsuì
卉	huì	general term for plants; myriads	花卉	huāhuì
噴	pēn	spurt, blow out, puff out	噴漆	pēnqī
雀	què	sparrow	麻雀	máquè
截	jié	cut off, stop, obstruct, intersect	截止	jiézhǐ
婦	fù	married women; woman; wife	夫婦 主婦 婦女	fūfù zhǔfù fùnǚ
垃	lā	garbage, refuse, waste	垃圾	lājī
芒	máng	Miscanthus sinensis	光芒 芒果	guāngmáng mángguǒ
荒	huāng	wasteland, desert; uncultivated	荒唐	huāngtáng
敝	bì	break, destroy; broken, tattered		
幣	bì	currency, coins, legal tender	港幣 幣值 貨幣	Gǎngbì bìzhí huòbì
圾	jī	garbage, rubbish; shaking; danger	垃圾	lājī
串	chuàn	string; relatives; conspire	一連串	yīliánchuàn
伸	shēn	extend, stretch out, open up; trust	伸手 伸張 延伸	shēnshǒu shēnzhāng yánshēn
傲	ào	proud, haughty, overbearing	驕傲	jiāoào
弦	xián	string; hypotenuse, crescent		
泥	ní	mud, mire; earth, clay; plaster	泥土 水泥	nítǔ shuǐní
繁	fán	complicated, complex, difficult	繁忙 繁榮 繁殖	fánmáng fánróng fánzhí
魯	lǔ	foolish, stupid, rash; vulgar	粗魯	cūlǔ
忌	jì	jealous, envious; fear	猜忌	cāijì
億	yì	hundred million; many		
叭	bā	trumpet	喇叭	lǎba
坦	tǎn	flat, smooth; self-possessed	坦克 坦然	tǎnkè tǎnrán
恥	chǐ	shame, humiliation; ashamed		
蜜	mì	honey; sweet; nectar	蜂蜜 蜜蜂	fēngmì mìfēng
欺	qī	cheat, double-cross, deceive	欺負 欺騙 欺侮	qīfu qīpiàn qīwǔ
捨	shě	discard, give up willingly; give alms	捨不得 捨得	shěbude shěde
怡	yí	harmony; pleasure, joy; be glad		
玲	líng	tinkling of jade		
臭	chòu	smell, stink, emit foul odor		
唐	táng	a dynasty; Chinese	荒唐	huāngtáng
湯	tāng	hot water; soup, gravy, broth	湯匙 湯圓	tāngchí tāngyuán
躬	gōng	body; personally, in person	鞠躬	jūgōng
窮	qióng	poor, destitute, impoverished	無窮 貧窮	wúqióng pínqióng
悉	xī	know, learn about, comprehend	熟悉 據悉	shúxī jùxī
勁	jìn	strong, unyielding, tough, powerful	勁兒 強勁 使勁	jìnr qiángjìng shǐjìn
拔	bá	uproot, pull out	海拔 提拔 選拔	hǎibá tíbá xuǎnbá
甜	tián	sweet, sweetness	甜點 甜美	tiándiǎn tiánměi
蒙	méng	cover; ignorant; suffer; mongolia		
逛	guàng	ramble, stroll, roam, wander	逛街	guàngjiē
摘	zhāi	pluck, pick; select; specify		
膽	dǎn	gall bladder; bravery, courage	大膽 膽量 膽小	dàdǎn dǎnliàng dǎnxiǎo
糟	zāo	sediment, dregs; pickle	糟糕	zāogāo
腿	tuǐ	legs, thighs	大腿 火腿 小腿	dàtuǐ huǒtuǐ xiǎotuǐ
喇	lǎ	horn, bugle; lama; final particle	喇叭	lǎba
醜	chǒu	ugly looking, homely; disgraceful		
躍	yuè	skip, jump, frolic	活躍 踴躍	huóyuè yǒngyuè
繳	jiǎo	deliver, submit; hand over		
澤	zé	marsh, swamp; grace, brilliance; damp, moist; fertile	色澤 沼澤	sèzé zhǎozé
碧	bì	jade; green, blue		
鞋	xié	shoes, footwear in general	鞋子 皮鞋 球鞋	xiézi píxié qiúxié
韓	hán	fence; surname; Korea		
晨	chén	early morning, daybreak	凌晨 清晨 早晨	língchén qīngchén zǎochén
莉	lì	white jasmine		
駕	jià	to drive, sail, fly; a cart, carriage	駕駛	jiàshǐ
猛	měng	violent, savage, cruel; bold	猛烈	měngliè
緩	huǎn	slow, leisurely; to postpone, delay	緩和 緩慢	huǎnhé huǎnmàn
坡	pō	slope, bank, hillside		
炸	zhà	to fry in oil; to scald; to explode	爆炸 炸藥	bàozhà zhàyào
怒	nù	anger, rage, passion; angry	憤怒 怒氣	fènnù nùqì
捕	bǔ	arrest, catch, seize	逮捕 追捕	dàibǔ zhuībǔ
幼	yòu	infant, young child; immature	幼稚	yòuzhì
艾	ài	artemisia, mugwort; translit.		
恆	héng	constant, regular, persistent		
割	gē	cut, divide, partition; cede	分割	fēngē
扯	chě	rip up, tear down; raise; haul		
盾	dùn	shield, shield-shaped object; currency sign for Dutch guilder	矛盾	máodùn
吐	tǔ	vomit, spew out, cough up	吞吞吐吐	tūntūntǔtǔ
辨	biàn	distinguish, discriminate	辨認 辨識 分辨	biànrèn biànshí fēnbiàn
軒	xuān	carriage; high; wide; balcony; surname of the Yellow Emperor		
丹	dān	cinnabar (native HgS); vermilion (artificial HgS used as pigment)	仙丹	xiāndān
鑑	jiàn	mirror, looking glass; reflect		
賦	fù	tax; give; endow; army; diffuse	賦予	fùyǔ
坪	píng	level ground; Japanese measure		
侵	qīn	invade, encroach upon, raid	侵害 侵入 侵犯	qīnhài qīnrù qīnfàn
胎	tāi	unborn child, embryo, fetus	輪胎 雙胞胎 墮胎	lúntāi shuāngbāotāi duòtāi
悠	yōu	long, far, remote, distant; liesurely	悠久 悠閒	yōujiǔ yōuxián
薪	xīn	fuel, firewood; salary	薪水 加薪	xīnshuǐ jiāxīn
刪	shān	to cut; delete, erase; to geld		
杉	shān	various species of pine and fir		
彬	bīn	cultivated, well-bred		
悟	wù	to apprehend, realize, become aware	覺悟 領悟	juéwù lǐngwù
珠	zhū	precious stone, gem, jewel, pearl	珍珠	zhēnzhū
勤	qín	industrious, diligent, attentive	勤勞 勤奮 辛勤	qínláo qínfèn xīnqín
瑰	guī	extraordinary, fabulous; rose	玫瑰	méiguī
植	zhí	plant, trees, plants; grow	植物 移植 種植	zhíwù yízhí zhòngzhí
痴	chī	foolish, stupid, dumb, silly		
礙	ài	obstruct, hinder, block, deter	障礙 阻礙 妨礙	zhàngài zǔài fángài
盃	bēi	glass, cup		
盼	pàn	look, gaze; expect, hope for	盼望	pànwàng
亨	hēng	smoothly, progressing, no trouble		
逝	shì	pass away; die	逝世	shìshì
剪	jiǎn	scissors; cut, divide, separate	剪刀	jiǎndāo
磨	mó	grind; polish; rub; wear out; a millstone	折磨	zhémó
逼	bī	compel, pressure, force; bother		
濃	nóng	thick, strong, concentrated	濃厚	nónghòu
乏	fá	lack; poor	缺乏	quēfá
擋	dǎng	obstruct, impede; stop; resist	阻擋	zǔdǎng
姆	mǔ	child's governess; matron	保姆	bǎomǔ
症	zhèng	disease, illness, ailment	癌症 症狀	áizhèng zhèngzhuàng
嫌	xián	hate, detest; suspect; criticize	涉嫌 嫌疑	shèxián xiányí
躲	duǒ	hide, secrete; avoid, escape	躲避	duǒbì
壁	bì	partition wall; walls of a house	隔壁 牆壁 峭壁	gébì qiángbì qiàobì
釣	diào	fish; fishhook; tempt, lure	釣魚	diàoyú
暖	nuǎn	warm, genial	暖和 溫暖 暖氣	nuǎnhuo wēnnuǎn nuǎnqì
憾	hàn	to regret, remorse; dissatisfied	遺憾	yíhàn
遜	xùn	humble, modest; yield	謙遜	qiānxùn
愉	yú	pleasant, delightful; please	愉快	yúkuài
捷	jié	win, victory, triumph	捷運 敏捷	jiéyùn mǐnjié
歎	tàn	sigh, admire		
嘆	tàn	sigh, admire	讚嘆	zàntàn
滴	dī	drip; drop of water		
扣	kòu	knock, strike, rap, tap; button	折扣 扣除	zhékòu kòuchú
抵	dǐ	resist, oppose; deny; off-set	抵達 抵抗 抵押	dǐdá dǐkàng dǐyā
奔	bēn	run fast, flee; rush about; run	奔跑 奔騰	bēnpǎo Bēnténg
翁	wēng	old man; father, father-in-law	主人翁	zhǔrénwēng
蹟	jī	trace, tracks; footprints		
菲	fēi	fragrant, luxuriant; the Philippines		
爬	pá	crawl, creep; climb; scramble		
棚	péng	tent, awning; booth; shed		
惱	nǎo	angered, filled with hate	煩惱 懊惱 苦惱	fánnǎo àonǎo kǔnǎo
牲	shēng	sacrificial animal; animal	犧牲	xīshēng
泳	yǒng	dive; swim	游泳 游泳池	yóuyǒng yóuyǒngchí
恰	qià	just, exactly, precisely; proper	恰當 恰好 恰恰	qiàdàng qiàhǎo qiàqià
滄	cāng	blue, dark green; cold		
桑	sāng	mulberry tree; surname		
蔣	jiǎng	surname; Hydropyrum latifalium		
潔	jié	clean, purify, pure	整潔 潔白 廉潔	zhěngjié jiébái liánjié
焦	jiāo	burned, scorched; anxious, vexed	焦急	jiāojí
勉	miǎn	endeavor, make effort; urge	勉強	miǎnqiǎng
奪	duó	take by force, rob, snatch	奪魁 爭奪	duókuí zhēngduó
萊	lái	goosefoot, weed; fallow field		
咖	kā	coffee; a phonetic	咖啡	kāfēi
貪	tān	greedy, covet; covetous	貪心	tānxīn
踢	tī	kick		
抄	chāo	copy, confiscate, seize	抄襲	chāoxí
跡	jī	search, track, trace	痕跡 古跡 絕跡	hénjì gǔjì juéjì
鍾	zhōng	cup, glass, goblet; surname		
涯	yá	shore, bank, water's edge		
箭	jiàn	arrow; type of bamboo	火箭	huǒjiàn
誓	shì	swear, pledge; oath	發誓 宣誓	fāshì xuānshì
涉	shè	ford stream, wade across	干涉 交涉 涉及	gānshè jiāoshè shèjí
稿	gǎo	draft, manuscript, rough copy		
署	shǔ	public office	部署 簽署	bùshǔ qiānshǔ
療	liáo	be healed, cured, recover	醫療 治療	yīliáo zhìliáo
礎	chǔ	foundation stone, plinth	基礎	jīchǔ
僑	qiáo	sojourn, lodge	華僑	Huáqiáo
涵	hán	soak, wet; tolerate, be lenient	內涵	nèihán
霧	wù	fog, mist, vapor, fine spray		
粉	fěn	powder, face powder; plaster	米粉 粉筆 麵粉	mǐfěn fěnbǐ miànfěn
俱	jù	all, together; accompany	俱樂部 俱全	jùlèbù jùquán
徹	chè	penetrate, pervade; penetrating	徹底 貫徹	chèdǐ guànchè
謀	móu	plan, scheme; strategem	參謀 謀生 陰謀	cānmóu móushēng yīnmóu
屠	tú	butcher, slaughter, massacre		
犧	xī	sacrifice, give up; sacrificial	犧牲	xīshēng
唷	yō	final particle		
繞	rào	entwine; wind around; surround	圍繞	wéirào
爺	yé	father, grandfather	爺爺 老天爺	yéye lǎotiānyé
叉	chā	crotch; fork, prong	叉子	chāzi
騷	sāo	harass, bother, annoy, disturb, agitate; sad, grieved	牢騷 騷動	láosāo sāodòng
翼	yì	wings; fins on fish; shelter		
肚	dù	belly; abdomen; bowels	肚子 拉肚子	dùzi lādùzi
吝	lìn	stingy, miserly, parsimonious		
梁	liáng	bridge; beam; rafters; surname		
咪	mī	sound of cat, cat's meow; meter; (Cant.) don't!		
繪	huì	draw, sketch, paint	彩繪 繪畫 描繪	cǎihuì huìhuà miáohuì
廉	lián	upright, honorable, honest	廉價 廉潔 清廉	liánjià liánjié qīnglián
飽	bǎo	eat heartily; eat one's fill	吃飽 飽和 飽滿	chībǎo bǎohé bǎomǎn
鳴	míng	cry of bird or animal; make sound	共鳴	gòngmíng
貌	mào	countenance, appearance	禮貌 面貌	lǐmào miànmào
霹	pī	thunder, crashing thunder		
炮	pào	large gun, cannon; artillery	鞭炮	biānpào
捐	juān	contribute; give up, renounce	捐款 捐獻 捐贈	juānkuǎn juānxiàn juānzèng
嗨	hāi	an exclamation		
貢	gòng	offer tribute; tribute, gifts	貢獻	gòngxiàn
壢	lì	a hole, pit		
鼻	bí	nose; first; KangXi radical 209	鼻子 鼻孔 鼻涕	bízi bíkǒng bítì
鈴	líng	bell	馬鈴薯	mǎlíngshǔ
耗	hào	consume, use up; waste, squander	消耗	xiāohào
恢	huī	restore; big, great, immense, vast	恢復	huīfù
融	róng	melt, fuse; blend, harmonize	金融 融化 融合	jīnróng rónghuà rónghé
筋	jīn	muscles; tendons	腦筋 傷腦筋	nǎojīn shāngnǎojīn
撿	jiǎn	to pick up		
儒	rú	Confucian scholar	儒家	Rújiā
飾	shì	decorate, ornament, adorn; to deceive	裝飾 服飾 首飾	zhuāngshì fúshì shǒushì
禍	huò	misfortune, calamity, disaster	車禍 人禍 災禍	chēhuò rénhuò zāihuò
侯	hóu	marquis, lord; target in archery		
唬	hǔ	to intimidate; to scare		
挖	wā	dig, dig out, gouge out, scoop		
幅	fú	piece, strip, breadth of, hem	幅度	fúdù
瞧	qiáo	glance at, look at, see	瞧不起	qiáobùqǐ
夷	yí	ancient barbarian tribes		
咦	yí	exclamation of surprise		
撐	chēng	prop up, support; brace; to push off (with a pole)	撐腰 支撐	chēngyāo zhīchēng
柳	liǔ	willow tree; pleasure	柳樹	liǔshù
薄	bó	thin, slight, weak; poor, stingy	薄弱 刻薄 淺薄	bóruò kèbó qiǎnbó
黎	lí	surname; numerous, many; black	黎明	límíng
捲	juǎn	curl, roll up; curly, rolled up		
嵐	lán	mountain mist, mountain haze		
靂	lì	thunderclap, crashing thunder		
擠	jǐ	crowd, squeeze, push against	擁擠 排擠	yōngjǐ páijǐ
覽	lǎn	look at, inspect; perceive	展覽 遊覽	zhǎnlǎn yóulǎn
迪	dí	enlighten, advance; progress		
凌	líng	pure; virtuous; insult; maltreat	凌晨	língchén
茫	máng	vast, boundless, widespread	茫然	mángrán
燃	rán	burn; light fire, ignite	點燃 燃料 燃燒	diǎnrán ránliào ránshāo
瑪	mǎ	agate; cornelian		
敦	dūn	esteem; honest, candid, sincere		
瑜	yú	flawless gem or jewel		
